Video Link,Type,VideoId,Transcript,Status,Clip ID,Start,End,Text ,Category,Reason,Editor Justification,Drive Link,Confidence
https://drive.google.com/file/d/1rjDwXzM8LFjZfv7byImpk2gJhIRmD_AA/view?usp=sharing,drive,1rjDwXzM8LFjZfv7byImpk2gJhIRmD_AA,,Analysis complete,,,,,,,,,
https://drive.google.com/file/d/1LQzodKSSmK74QRKp4oD7PDMA34uaxsF8/view?usp=sharing,drive,1LQzodKSSmK74QRKp4oD7PDMA34uaxsF8,,Analysis complete,,,,,,,,,
https://drive.google.com/file/d/1uj3k-_Bb8zv_LYnujZM-r9PgsPmASynk/view?usp=sharing,drive,1uj3k-_Bb8zv_LYnujZM-r9PgsPmASynk,,Analysis complete,,,,,,,,,
https://drive.google.com/file/d/1cZZZGSTXlLzPa9Whfwy6y1-Qx0pHVWEK/view?usp=sharing,drive,1cZZZGSTXlLzPa9Whfwy6y1-Qx0pHVWEK,,Analysis complete,,,,,,,,,
https://drive.google.com/file/d/1ejRAhiXeJCB8fvvFvmyqnHBHtT2nGLp7/view?usp=sharing,drive,1ejRAhiXeJCB8fvvFvmyqnHBHtT2nGLp7,,Analysis complete,,,,,,,,,
,,,,,1rjDwXzM8LFjZfv7byImpk2gJhIRmD_AA-0,0:14:41,0:15:02,"चलएए न ही टइमम नहीं मलगेगा, न, न, न कईई जञनान नहीं दगगा। टचरर को जञनान दनने वलले का आज तक सलकशनशन नहीं हआआ है। मनंने नहीं दखखा है
मनंने पछलले 10 सलल के करयरर में 1 भी ऐसा बचचचा नहीं दखखा जो टचरर को जञनान दे रहा था और वो सलकटक्ट हो गया। कभी नहीं हगगा। तो इसलएए जो मैं कहूँ वो बलनना है। जञनान नहीं चहएिए।
तू जञनान नहीं दे सकता, धयनान रखययो
है,",Sarcastic Line,"This line is a savage, sarcastic punch directed at students trying to act smart, matching viral, funny, and relatable classroom banter trends (#RelatableStudents).","Selected the setup and sarcastic punchline for maximal impact, ending just before the segment shifts tone, ensuring a self-contained, viral-worthy arc.",https://drive.google.com/file/d/1cKB_ZzVmUeb_ucTG4TcUaLn57jsa_N9O/view?usp=drivesdk,0.95
,,,,,1rjDwXzM8LFjZfv7byImpk2gJhIRmD_AA-1,0:14:59,0:15:16,"तू जञनान नहीं दे सकता, धयनान रखययो
है,
जतनना टइमम दे रहा हूँ। सफसएटएंट है ये कवशचन्चन घर से करके आना चहएिए। अगर आप करके नहीं आये हैं तो भयया अपने मथथे पर 2 तमचचे जरर जरर से मरएिए। तककि झननटदरेदार कछछ लगे है
चलो",Funny Joke,"This is a classic, exaggeratedly funny threat in desi teacher style, directly appealing to trending 'strict teacher' meme culture and relatable classroom humor.","Starts with the threat, includes the over-the-top call to action and wraps at the comedic peak, perfectly fitting the Desi strict teacher meme trend.",https://drive.google.com/file/d/1IBCTuSj3JNXfLB1KPCa_cRcW-4sRZ6TI/view?usp=drivesdk,0.96
,,,,,1rjDwXzM8LFjZfv7byImpk2gJhIRmD_AA-2,0:02:08,0:02:37,"जो मनंने दनन लखवयाया था कतनने लगगों को यदद है अपने दलल पर हथथ रखो और खदद की औकतत खदद बढ़नने की कषमतता। अपने अदरर डवलपप करो पढ़ना पढ़नना तो हम सखएगएंगे, लकनिन पहले यह जननना अति इमपरटट्टेंट है आपके लएए। अति महतवपरणर्ण है आपके लएए, कयकोंकि जदगदगी में कससे जनना रहना, ये सब भी जननना हतता है। भयया इसी को समझ गए तो ये पढना लखनना। और अचछछा कमम करता है।
नहीं तो फरर पढ़ लखख के लगग अनपढ़ रह जतते हैं। जससे दखगोगे यू टयबूब पर कछछ यटयबयूब है, वो कससे है, वो अनपढ़ हैं, पढ़े लखखे हैं, अचछछे कलजेज से पढ़े लखखे है। लकनिन अनपढ़ टइपप का बहवयरियर है। कमपलटलीटली अनपढ़ मतलब डगर्री धररी अनपढ़ जसकको कह सकते हो वो डगर्री धररी अनपढ़ की तरह है। तो डगर्री धररी पर नहीं बनना है। ठकक है अपने अदरर शकष्षा का जो पढयया जएए, जो सखयाया जएए, वो आचरण में भी लनना है। सखनना तो है ही है। कसपटेप्ट में सखऊगऊंगा जईई एडवसंस लवलल पढऊगऊंगा। उससे रततती मतर्र थड़ड़ा भी कमजरर नहीं हगगा, कमपलटलीटली कटटरर जईई एडवसंस हगगा। कईई बचचचा कससी ए आई आर बचच, कससी और कचगिंग जनने की न सचचे। मैं इन ऑरगनकनिक के लएए तो दववे के सथथ कह रहा हूँ, इससे जयदादा पढ़ने की कईई जररतत नहीं हगगी।",Inspiring Story,"This segment delivers motivational punch about self-worth and hard work, aligning with the 'MotivationWale' trend and student success narratives.","Starts at the motivational setup, builds emotional momentum, and closes after the punchy, inspiring message for a full, self-contained arc.",https://drive.google.com/file/d/1QIxTDRnUhk9e_UvGXljbc2Xx63WI1kyC/view?usp=drivesdk,0.94
,,,,,1rjDwXzM8LFjZfv7byImpk2gJhIRmD_AA-3,0:29:11,0:30:03,"बहतत अचछछी बतत है, दखखो अब मैं तमह्हें 1 सतयय बततता हूँ, यह तो तमम करो करो कवशचन्चन करो।
1 सतयय यह है की हमररी मममयिया हमररे लएए सच में बहतत जयदादा करती है।
और मझझे ऐसा लगता है की ये अब अतमिम जनरशनन है। मममयियों की जो इतनी फकरर करती थी, इतनी कयरर करती थी। ये मैं सररी मममयियों के लएए आज की डटट में यह बलल सकता हूँ,
कयकोंकि सबकी ममममी अभी इसटगरमग्राम पर नहीं है। यू टयबूब पर बहतत वससा कनटटटेंट कजयमयूम कर रही है। और ऐसा
सडफमरजमकरिजमके चककरर में नहीं है, ठकक है और खदद बचचचे को ठकक ठकक तरकके से पलतती है। हाँ अपना खदद भी अन करती हैं लकनिन गरवव के सथथ, परइडइड के सथथ रहती है और आपको पलल पसस पा रही है। अब तक ऐसा था आगे चल के तो लगग शयदद बचगंगे इन चजजों में जनने के लएए तो बटटा अभी जो है आपके पसस
अलग अलग है,",Emotional Story,"This is a heartfelt emotional tribute to mothers, strongly resonating with 'Parents vs Students' (trending) and emotional storytelling for NEET/JEE.","Begins with the emotional reveal and tribute, closes with cultural relevance and the start of gratitude, ensuring an emotionally resonant micro-story.",https://drive.google.com/file/d/1Tj2DGB9_fQmBw4vDswA5pryOsqcTI0h8/view?usp=drivesdk,0.93
,,,,,1rjDwXzM8LFjZfv7byImpk2gJhIRmD_AA-4,0:38:19,0:38:30,"चलएए रदर ये बतत लखख लयया सब लगग, चटट मैं ऑफ़ कर हा हूँ थड़ड़ी दरर के लएए कपयया नटट करे।
आइए कयकूंकी यहाँ भी जररतत
है? नहीं कईई वो करने की, इटरकशन्शन करने की।
दर कतनने आरपप है 100, दसवें नबरर पर डर से रएए कपरर 111, 112 रो कपरर पर आ जयगेगा। ठकक है डर से रएए कपरर। अब फरर आता है 113 पर आएगा नहहा यदद रखना नहहा जी कतनने नबरर पर है 100। तरहववें नबरर पर मैं आपको अभी यदद करऊगंगा उगलयियों पर यदद हो जतती है। चजजें चतंता की बतत नहीं है। ठकक है",Funny Joke,"Chatti mein off kar raha hoon thodi der ke liye' is a classic teacher move, mock-serious and playful, perfect for short, memeable content aligned with classroom skit trends.","Starts at the catchphrase, delivers the teacher’s interruption and casual logic, and ends just before the topic changes, maximizing memeability.",https://drive.google.com/file/d/1_84oBM1Q3tpNb1QOXV3GUZMbEdL2Juwf/view?usp=drivesdk,0.9
